disease class,image name,gemini-pro-vision,llava-v1.6-34b,gpt-4-vision-preview,claude-3-opus-20240229
bacterial leaf blight,bacterial_leaf_blight (1).jpg,"{“SymptomAbnormality”: “N/A”, “ColorAbnormality”: “N/A”, “ShapeOfSymptomAbnormality”: “N/A”}","{“SymptomAbnormality”: ""Lesion"", “ColorAbnormality”: ""DarkBrown"", “ShapeOfSymptomAbnormality”: ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear"""
bacterial leaf blight,bacterial_leaf_blight (2).jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{""SymptomAbnormality"": ""Spot"",""ColorAbnormality"":""YellowishGreen"", ""ShapeOfSymptomAbnormality"": ""Eye""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
bacterial leaf blight,bacterial_leaf_blight (3).jpg,"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “YellowishBrown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Lesion"",""ColorAbnormality"": ""Green"",""ShapeOfSymptomAbnormality"": ""Halo""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""LightBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
bacterial leaf blight,bacterial_leaf_blight (4).jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Pimple"", ""ColorAbnormality"": ""GreenishBlack"",""ShapeOfSymptomAbnormality"": ""Circular""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
bacterial leaf blight,bacterial_leaf_blight (5).jpg,"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Oval”}","{""SymptomAbnormality"": ""Spot"",""ColorAbnormality"": ""Yellow"",""ShapeOfSymptomAbnormality"": ""Oval""}","{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{
 ""SymptomAbnormality"": ""Lesion"",
 ""ColorAbnormality"": ""Green"",
 ""ShapeOfSymptomAbnormality"": ""Ellipsoid""
}"
bacterial leaf blight,bacterial_leaf_blight (178).jpg,"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"",""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Oval""}"
bacterial leaf blight,bacterial_leaf_blight (179),"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{""SymptomAbnormality"": ""Spot"",""ColorAbnormality"": ""GreenishBrown"",""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
bacterial leaf blight,bacterial_leaf_blight (180),"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{""SymptomAbnormality"": ""Spot"",""ColorAbnormality"": ""GreenishBrown"",""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""GrayishBrown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
bacterial leaf blight,bacterial_leaf_blight (188),"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Lesion"",""ColorAbnormality"": ""GreenishBrown"", ""ShapeOfSymptomAbnormality"": ""Oval""}

","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishYellow"", ""ShapeOfSymptomAbnormality"": ""Ellipsoid""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
bacterial leaf blight,bacterial_leaf_blight (189),"{“SymptomAbnormality”: “Lesion”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Linear”}","{ ""SymptomAbnormality"": ""Spot"",""ColorAbnormality"": ""GreenishBrown"",""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}","{""SymptomAbnormality"": ""Spot"", ""ColorAbnormality"": ""Brown"", ""ShapeOfSymptomAbnormality"": ""Linear""}"
brown spot,brown_spot (14).jpg,"{“SymptomAbnormality”: “Spot”, “ColorAbnormality”: “Brown”, “ShapeOfSymptomAbnormality”: “Circular”}","{""SymptomAbnormality"": ""Spot"",""ColorAbnormality"": ""GreenishBlack"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{""SymptomAbnormality"": ""Lesion"", ""ColorAbnormality"": ""BrownishGray"", ""ShapeOfSymptomAbnormality"": ""Oval""}","{
""SymptomAbnormality"": ""Spot"",
""ColorAbnormality"": ""DarkBrown"",
""ShapeOfSymptomAbnormality"": ""Eye""
}"
