Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Brown Spot,BrownSpot1.jpg,Spot,1,Orange,0,Oval,1
Brown Spot,BrownSpot2.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot3.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot4.jpg,Spot,1,Brown,1,Linear,0
Brown Spot,BrownSpot5.jpg,Spot,1,Brown,1,Circular,1
Brown Spot,BrownSpot6.jpg,Spot,1,Brown,1,Linear,0
Brown Spot,BrownSpot7.jpg,Spot,1,Brown,1,Linear,0
Brown Spot,BrownSpot8.jpg,Spot,1,Brown,1,Linear,0
Brown Spot,BrownSpot9.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot10.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,BrownSpot11.jpg,Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (338).jpg,Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (24).jpg,Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (77).jpg,Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (168).jpg,Spot,1,Brown,1,Circular,1
Brown Spot,brown_spot (185).jpg,Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (246),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (249),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (320),Spot,1,BrownishYellow,1,Oval,1
Brown Spot,brown_spot (14).jpg,Spot,1,"DarkBrown
",0,Eye,0
Leaf Blast,leaf_blast1.jpg,Lesion,0,LightBrown,0,Oval,0
Leaf Blast,leaf_blast2.jpg,Lesion,0,GrayishBrown,0,Linear,0
Leaf Blast,leaf_blast3.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast4.jpg,Spot,1,BrownishYellow,0,Linear,0
Leaf Blast,leaf_blast5.jpg,Spot,1,Brown,1,Oval,0
Leaf Blast,leaf_blast6.jpg,Spot,1,White,0,Linear,0
Leaf Blast,leaf_blast7.jpg,Spot,1,BrownishYellow,0,Oval,0
Leaf Blast,leaf_blast8.jpg,Spot,1,Brown,1,Oval,0
