Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Brown Spot,brown_spot (338),Spot,1,Brown,1,Circular,1
Brown Spot,brown_spot (24),Spot,1,Brown,1,Circular,1
Brown Spot,brown_spot (40),Lesion,1,Brown,1,Oval,1
Brown Spot,brown_spot (77),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (168),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (185),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (246),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (249),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (320),Spot,1,Brown,1,Oval,1
Brown Spot,brown_spot (14).jpg,Spot,1,Brown,1,Circular,1
leaf blast,leaf_blast (80),Spot,1,Brown,1,Oval,0
leaf blast,leaf_blast (39),Spot,1,Brown,1,Oval,0
leaf blast,leaf_blast (182),Spot,1,Brown,1,Oval,0
leaf blast,leaf_blast (191),Lesion,0,Brown,1,Oval,0
leaf blast,leaf_blast (16),Spot,1,Brown,1,Oval,0
leaf blast,leaf_blast (33),Spot,1,YellowishBrown,0,Ellipsoid,0
leaf blast,leaf_blast (104),Spot,1,Brown,1,Oval,0
leaf blast,leaf_blast (225),Spot,1,DarkBrown,0,Circular,0
leaf blast,leaf_blast (235),Spot,1,Brown,1,Oval,0
leaf blast,leaf_blast (357),Lesion,0,Brown,1,Linear,0
narrow_brown -spot,"narrow_brown (1),jpg",Spot,0,RedBrown,0,Oval,0
narrow_brown -spot,narrow_brown (8).jpg,Lesion,1,Brown,1,Linear,1
narrow_brown -spot,narrow_brown (13).jpg,Lesion,1,Brown,1,Linear,1
narrow_brown -spot,narrow_brown (27).jpg,Lesion,1,Brown,1,Linear,1
narrow_brown -spot,narrow_brown (31),Spot,0,Brown,1,Oval,0
narrow_brown -spot,narrow_brown (81),Lesion,1,YellowishBrown,0,Linear,1
narrow_brown -spot,narrow_brown_val (14),Spot,0,Brown,1,Circular,0
narrow_brown -spot,narrow_brown_val (22),Lesion,1,Brown,1,Linear,1
narrow_brown -spot,narrow_brown_val (32),Spot,0,Brown,1,Linear,1
narrow_brown -spot,narrow_brown_val (33),Lesion,1,Red,0,Linear,1
Leaf Scald,leaf_scald (15),Lesion,1,Brown,0,Linear,0
Leaf Scald,leaf_scald (22),Spot,0,Yellow,0,Linear,0
Leaf Scald,leaf_scald (59),Spot,0,YellowishBrown,0,Oval,1
Leaf Scald,leaf_scald (63),Dry,0,Brown,0,Linear,0
Leaf Scald,leaf_scald (65),Dry,0,Brown,0,Linear,0
Leaf Scald,leaf_scald (80),Lesion,1,Brown,0,Linear,0
Leaf Scald,leaf_scald (84),Dry,0,BrownishYellow,0,Linear,0
Leaf Scald,leaf_scald (86),Spot,0,Brown,0,Oval,1
Leaf Scald,leaf_scald (128),Dry,0,Brown,0,Linear,0
Leaf Scald,leaf_scald (302),Lesion,1,Brown,0,Linear,0
