Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Brown Spot,BrownSpot1.jpg,Lesion,0,Brown,1,Circular,1
Brown Spot,BrownSpot2.jpg,Lesion,0,BrownishGray,0,Oval,1
Brown Spot,BrownSpot3.jpg,Lesion,0,Brown,1,Oval,1
Brown Spot,BrownSpot4.jpg,Lesion,0,Brown,1,Oval,1
Brown Spot,BrownSpot5.jpg,Lesion,0,BrownishGray,0,Oval,1
Brown Spot,BrownSpot6.jpg,Lesion,0,Brown,1,Oval,1
Brown Spot,BrownSpot7.jpg,Lesion,0,Brown,1,Oval,1
Brown Spot,BrownSpot8.jpg,Lesion,0,BrownishYellow,1,Oval,1
Brown Spot,BrownSpot9.jpg,Lesion,0,Brown,1,Oval,1
Brown Spot,BrownSpot10.jpg,Lesion,0,BrownishGray,0,Oval,1
Brown Spot,BrownSpot11.jpg,Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (338),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (24),Lesion,0,BrownishYellow,1,Oval,1
Brown Spot,brown_spot (77),Lesion,0,Brown,1,Circular,1
Brown Spot,brown_spot (168),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (185),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (246),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (249),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (320),Lesion,0,Brown,1,Circular,1
Brown Spot,brown_spot (14).jpg,Lesion,0,BrownishGray,0,Oval,1
Leaf Blast,leaf_blast1.jpg,Lesion,0,GrayishBrown,0,Oval,0
Leaf Blast,leaf_blast2.jpg,Lesion,0,BrownishYellow,0,Linear,0
Leaf Blast,leaf_blast3.jpg,Lesion,0,GrayishBrown,0,Oval,0
Leaf Blast,leaf_blast4.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast5.jpg,Lesion,0,Brown,1,Linear,0
Leaf Blast,leaf_blast6.jpg,Lesion,0,GrayishBrown,0,Oval,0
Leaf Blast,leaf_blast7.jpg,Lesion,0,GrayishBrown,0,Oval,0
Leaf Blast,leaf_blast8.jpg,Lesion,0,BrownishYellow,0,Oval,0
Leaf Blast,leaf_blast9.jpg,Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast10.jpg,Lesion,0,DarkBrown,0,Oval,0
Leaf Blast,leaf_blast (80),Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast (39),Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast (182),Lesion,0,BrownishGray,0,Oval,0
Leaf Blast,leaf_blast (191),Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast (16),Lesion,0,BrownishYellow,0,Oval,0
Leaf Blast,leaf_blast (33),Lesion,0,BrownishGray,0,Oval,0
Leaf Blast,leaf_blast (104),Lesion,0,Brown,1,Oval,0
Leaf Blast,leaf_blast (225),Lesion,0,BrownishYellow,0,Oval,0
Leaf Blast,leaf_blast (235),Lesion,0,Brown,1,Oval,0
