Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Brown Spot,brown_spot (338),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (24),Lesion,0,BrownishYellow,1,Oval,1
Brown Spot,brown_spot (40),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (77),Lesion,0,Brown,1,Circular,1
Brown Spot,brown_spot (168),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (185),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (246),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (249),Lesion,0,Brown,1,Oval,1
Brown Spot,brown_spot (320),Lesion,0,Brown,1,Circular,1
Brown Spot,brown_spot (14).jpg,Lesion,0,BrownishGray,0,Oval,1
leaf blast,leaf_blast (80),Lesion,0,Brown,1,Oval,0
leaf blast,leaf_blast (39),Lesion,0,Brown,1,Oval,0
leaf blast,leaf_blast (182),Lesion,0,BrownishGray,0,Oval,0
leaf blast,leaf_blast (191),Lesion,0,Brown,1,Oval,0
leaf blast,leaf_blast (16),Lesion,0,BrownishYellow,0,Oval,0
leaf blast,leaf_blast (33),Lesion,0,BrownishGray,0,Oval,0
leaf blast,leaf_blast (104),Lesion,0,Brown,1,Oval,0
leaf blast,leaf_blast (225),Lesion,0,BrownishYellow,0,Oval,0
leaf blast,leaf_blast (235),Lesion,0,Brown,1,Oval,0
leaf blast,leaf_blast (357),Lesion,0,BrownishGray,0,Oval,0
narrow_brown -spot,"narrow_brown (1),jpg",Lesion,1,Brown,1,Oval,0
narrow_brown -spot,narrow_brown (8).jpg,Lesion,1,Brown,1,Oval,0
narrow_brown -spot,narrow_brown (13).jpg,Lesion,1,Brown,1,Linear,1
narrow_brown -spot,narrow_brown (27).jpg,Lesion,1,Brown,1,Linear,1
narrow_brown -spot,narrow_brown (31),Lesion,1,BrownishYellow,0,Oval,0
narrow_brown -spot,narrow_brown (81),Lesion,1,BrownishYellow,0,Linear,1
narrow_brown -spot,narrow_brown_val (14),Lesion,1,Brown,1,Ellipsoid,0
narrow_brown -spot,narrow_brown_val (22),Lesion,1,Brown,1,Linear,1
narrow_brown -spot,narrow_brown_val (32),Lesion,1,Brown,1,Oval,0
narrow_brown -spot,narrow_brown_val (33),Lesion,1,BrownishYellow,0,Linear,1
Leaf Scald,leaf_scald (15),Lesion,1,Brown,0,Linear,0
Leaf Scald,leaf_scald (22),Lesion,1,YellowishBrown,0,Linear,0
Leaf Scald,leaf_scald (59),Lesion,1,YellowishBrown,0,Oval,1
Leaf Scald,leaf_scald (63),Lesion,1,YellowishBrown,0,Linear,0
Leaf Scald,leaf_scald (65),Lesion,1,YellowishBrown,0,Linear,0
Leaf Scald,leaf_scald (80),Lesion,1,YellowishBrown,0,Linear,0
Leaf Scald,leaf_scald (84),Lesion,1,YellowishBrown,0,Linear,0
Leaf Scald,leaf_scald (86),Lesion,1,YellowishBrown,0,Linear,0
Leaf Scald,leaf_scald (128),Lesion,1,YellowishBrown,0,Linear,0
Leaf Scald,leaf_scald (302),Lesion,1,YellowishBrown,0,Linear,0
